Timestamp,Symbol,Spread,Best Buy,Best Sell,Profit Potential,Bybit Price,Gate Price,MEXC Price,Huobi Price,BingX Price,Bitget Price,OKX Price
2025-07-07 16:10:45,ANIMEUSDT,2.9955%,Huobi,MEXC,3.0779%,0.01638,0.0164,0.01641,0.01592,0,0,0.01638
2025-07-07 16:21:24,ANIMEUSDT,2.0509%,Huobi,Gate,2.1223%,0.01635,0.01636,0,0.01602,0,0,0.01636
2025-07-07 16:23:15,ANIMEUSDT,2.5462%,Huobi,Bybit,2.6283%,0.0164,0.016395,0,0.01598,0,0,0
2025-07-07 16:26:35,SHELLUSDT,2.8371%,Gate,Huobi,2.9091%,0.138,0.1375,0.1381,0.1415,0,0,0.1381
2025-07-07 16:26:38,SHELLUSDT,2.8371%,Gate,Huobi,2.9091%,0.138,0.1375,0.1381,0.1415,0,0,0
2025-07-07 16:28:17,ANIMEUSDT,2.8607%,Huobi,Bybit,2.9430%,0.01644,0.01642,0,0.01597,0,0,0
2025-07-07 16:28:19,ANIMEUSDT,2.2828%,Huobi,MEXC,2.3647%,0.01644,0.01642,0.01645,0.01607,0,0,0
2025-07-07 16:33:23,ANIMEUSDT,2.0963%,Huobi,Bybit,2.1780%,0.01642,0.01642,0.01642,0.01607,0,0,0
2025-07-07 16:33:32,ANIMEUSDT,2.0963%,Huobi,Bybit,2.1780%,0.01642,0.01642,0,0.01607,0,0,0.01641
2025-07-07 16:37:27,PALUSDT,2.4944%,Gate,MEXC,2.5662%,0,0.02494,0.02558,0,0,0,0
2025-07-07 16:49:53,PALUSDT,2.1375%,Gate,MEXC,2.2090%,0,0.02852,0.02915,0,0,0,0
2025-07-07 16:52:00,SHELLUSDT,2.1135%,Gate,Huobi,2.1850%,0.1374,0.1373,0,0.1403,0,0,0.1374
2025-07-07 16:58:14,ANIMEUSDT,2.2235%,Huobi,Bybit,2.3053%,0.01642,0.016399,0,0.01605,0,0,0
2025-07-07 16:58:20,ANIMEUSDT,2.1612%,Huobi,Bybit,2.2430%,0.01641,0.016399,0,0.01605,0,0,0
2025-07-07 17:06:33,HYPERUSDT,2.8016%,Gate,Huobi,2.8736%,0.1045,0.1044,0,0.1074,0,0,0
2025-07-07 17:06:45,HYPERUSDT,2.9886%,MEXC,Huobi,3.0710%,0.1045,0.1044,0.1042,0.1074,0,0,0
2025-07-07 17:50:23,VOXELUSDT,4.1749%,Gate,Huobi,4.2479%,0.04571,0.04567,0,0.04761,0,0,0
2025-07-07 17:50:24,VOXELUSDT,4.1749%,Gate,Huobi,4.2479%,0.04571,0.04567,0,0.04761,0,0,0
2025-07-07 17:53:02,NAVXUSDT,2.0708%,Gate,MEXC,2.1423%,0,0.03921,0.04005,0,0,0,0
